,precision,recall,f1-score,support
0,0.8489847715736041,0.9016172506738545,0.8745098039215686,742.0
1,0.669683257918552,0.5543071161048689,0.6065573770491803,267.0
accuracy,0.8097125867195243,0.8097125867195243,0.8097125867195243,0.8097125867195243
macro avg,0.7593340147460781,0.7279621833893617,0.7405335904853745,1009.0
weighted avg,0.8015382857996706,0.8097125867195243,0.8036046523111349,1009.0
